Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
LEC,80.215,0 days 00:00:27.948000,0 days 00:00:17.857000,0 days 00:00:34.410000
LEC,80.331,0 days 00:00:27.976000,0 days 00:00:17.865000,0 days 00:00:34.490000
LEC,80.463,0 days 00:00:28.073000,0 days 00:00:17.852000,0 days 00:00:34.538000
LEC,80.32,0 days 00:00:28.019000,0 days 00:00:17.810000,0 days 00:00:34.491000
LEC,80.962,0 days 00:00:28.437000,0 days 00:00:17.832000,0 days 00:00:34.693000
LEC,79.813,0 days 00:00:28.044000,0 days 00:00:17.572000,0 days 00:00:34.197000
LEC,80.871,0 days 00:00:28.062000,0 days 00:00:17.781000,0 days 00:00:35.028000
LEC,109.995,0 days 00:00:36.732000,0 days 00:00:29.762000,0 days 00:00:43.501000
STR,83.551,0 days 00:00:29.507000,0 days 00:00:18.117000,0 days 00:00:35.927000
STR,83.196,0 days 00:00:29.015000,0 days 00:00:18.169000,0 days 00:00:36.012000
STR,83.454,0 days 00:00:28.949000,0 days 00:00:18.130000,0 days 00:00:36.375000
STR,83.337,0 days 00:00:28.941000,0 days 00:00:18.062000,0 days 00:00:36.334000
STR,83.027,0 days 00:00:28.902000,0 days 00:00:18.106000,0 days 00:00:36.019000
STR,83.019,0 days 00:00:28.945000,0 days 00:00:18.021000,0 days 00:00:36.053000
STR,97.362,0 days 00:00:28.791000,0 days 00:00:18.042000,0 days 00:00:50.529000
STR,87.945,0 days 00:00:34.017000,0 days 00:00:18.371000,0 days 00:00:35.557000
STR,82.883,0 days 00:00:28.763000,0 days 00:00:18.299000,0 days 00:00:35.821000
STR,82.718,0 days 00:00:28.755000,0 days 00:00:18.212000,0 days 00:00:35.751000
STR,83.063,0 days 00:00:28.858000,0 days 00:00:18.308000,0 days 00:00:35.897000
STR,83.322,0 days 00:00:28.920000,0 days 00:00:18.278000,0 days 00:00:36.124000
STR,83.106,0 days 00:00:28.867000,0 days 00:00:18.238000,0 days 00:00:36.001000
STR,83.45,0 days 00:00:29.221000,0 days 00:00:18.357000,0 days 00:00:35.872000
STR,84.65,0 days 00:00:29.194000,0 days 00:00:17.980000,0 days 00:00:37.476000
STR,103.269,0 days 00:00:29.212000,0 days 00:00:25.841000,0 days 00:00:48.216000
STR,86.001,0 days 00:00:31.146000,0 days 00:00:18.269000,0 days 00:00:36.586000
STR,83.105,0 days 00:00:28.710000,0 days 00:00:18.244000,0 days 00:00:36.151000
STR,82.922,0 days 00:00:28.668000,0 days 00:00:18.233000,0 days 00:00:36.021000
